# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    524288           9916.90 | 5.2868132e-05 ± 4.2353e-06     1000
   1048576          10918.95 | 9.6032668e-05 ± 2.6304e-07     1000
   2097152          11459.15 | 1.8301113e-04 ± 4.3613e-07       10
   4194304          11746.79 | 3.5705946e-04 ± 7.8078e-07       10
   8388608          11905.64 | 7.0459105e-04 ± 5.7928e-07       10
  16777216          11937.72 | 1.4053953e-03 ± 7.0042e-06       10
  33554432          11882.14 | 2.8239389e-03 ± 2.8454e-05       10
  67108864          11813.07 | 5.6808972e-03 ± 3.2880e-05       10
 134217728          11623.12 | 1.1547478e-02 ± 1.5706e-04       10
 268435456          11171.13 | 2.4029394e-02 ± 2.6783e-04       10
 536870912          10788.49 | 4.9763309e-02 ± 1.2673e-03       10
1073741824          10652.28 | 1.0079927e-01 ± 3.3753e-03       10
