# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    524288           5192.89 | 1.0096265e-04 ± 3.4042e-06     1000
   1048576           6382.49 | 1.6428957e-04 ± 7.0845e-06     1000
   2097152           2455.73 | 8.5398171e-04 ± 5.6453e-05       10
   4194304           2604.54 | 1.6103806e-03 ± 3.5436e-05       10
   8388608           2658.10 | 3.1558667e-03 ± 7.4094e-05       10
  16777216           2676.00 | 6.2695067e-03 ± 1.4065e-04       10
  33554432           2689.90 | 1.2474242e-02 ± 2.0642e-04       10
  67108864           2517.36 | 2.6658440e-02 ± 3.6177e-04       10
 134217728           3067.74 | 4.3751297e-02 ± 3.1134e-02       10
 268435456           2630.47 | 1.0204840e-01 ± 2.4960e-03       10
 536870912           7390.55 | 7.2642865e-02 ± 1.5826e-02       10
1073741824           1098.08 | 9.7783702e-01 ± 1.7984e+00       10
