# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           6655.69 | 3.1509165e-04 ± 1.0616e-04       10
   4194304           4332.39 | 9.6812659e-04 ± 7.7002e-05       10
   8388608           2892.75 | 2.8998758e-03 ± 1.4424e-05       10
  16777216           2952.56 | 5.6822528e-03 ± 9.4570e-05       10
  33554432           3029.79 | 1.1074848e-02 ± 7.4367e-05       10
  67108864           3072.31 | 2.1843101e-02 ± 7.0742e-05       10
 134217728           3096.95 | 4.3338717e-02 ± 2.4136e-04       10
 268435456           3109.45 | 8.6328837e-02 ± 2.4601e-04       10
 536870912           3114.41 | 1.7238266e-01 ± 1.9766e-04       10
1073741824           3119.43 | 3.4421124e-01 ± 4.5601e-04       10
