# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           6919.55 | 3.0307620e-04 ± 9.9409e-05       10
   4194304           3375.92 | 1.2424165e-03 ± 2.0390e-05       10
   8388608           4080.42 | 2.0558190e-03 ± 3.3189e-05       10
  16777216           2952.66 | 5.6820619e-03 ± 4.5953e-05       10
  33554432           3003.38 | 1.1172227e-02 ± 7.1804e-05       10
  67108864           3041.38 | 2.2065282e-02 ± 9.1971e-05       10
 134217728           3062.78 | 4.3822138e-02 ± 2.0854e-04       10
 268435456           4064.44 | 6.6044942e-02 ± 3.5765e-03       10
 536870912           3076.56 | 1.7450346e-01 ± 2.4717e-04       10
1073741824           3081.35 | 3.4846501e-01 ± 1.0468e-03       10
