# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           9341.69 | 2.2449379e-04 ± 1.8879e-05       10
   4194304           9588.88 | 4.3741330e-04 ± 5.8951e-05       10
   8388608           6543.13 | 1.2820481e-03 ± 4.1473e-05       10
  16777216           6465.40 | 2.5949215e-03 ± 1.1965e-05       10
  33554432           6629.97 | 5.0610228e-03 ± 1.3712e-05       10
  67108864           6724.61 | 9.9795870e-03 ± 2.7082e-05       10
 134217728           6737.81 | 1.9920070e-02 ± 1.8449e-04       10
 268435456           6779.79 | 3.9593459e-02 ± 9.3390e-05       10
 536870912           6800.06 | 7.8950876e-02 ± 1.5466e-04       10
1073741824           6805.11 | 1.5778455e-01 ± 1.1711e-04       10
