# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.33 | 2.9938638e-06 ± 1.7449e-07    10000
         2              0.67 | 2.9739155e-06 ± 2.1886e-07    10000
         4              1.34 | 2.9895306e-06 ± 1.4273e-07    10000
         8              2.68 | 2.9841162e-06 ± 1.3126e-07    10000
        16              5.36 | 2.9864225e-06 ± 1.4994e-07    10000
        32             10.34 | 3.0947627e-06 ± 1.4545e-07    10000
        64             19.63 | 3.2596405e-06 ± 2.3588e-07    10000
       128             37.96 | 3.3723306e-06 ± 4.6933e-06    10000
       256             67.17 | 3.8114527e-06 ± 5.6912e-06    10000
       512            132.21 | 3.8727337e-06 ± 1.7517e-07    10000
      1024            253.23 | 4.0436776e-06 ± 1.6156e-07    10000
      2048            424.88 | 4.8201881e-06 ± 1.9124e-07    10000
      4096            745.57 | 5.4937989e-06 ± 1.9712e-07    10000
      8192           1315.39 | 6.2278161e-06 ± 2.9850e-07    10000
     16384           2137.74 | 7.6641691e-06 ± 1.4220e-06    10000
     32768           3198.45 | 1.0244963e-05 ± 3.4667e-07     1000
     65536           4909.67 | 1.3348361e-05 ± 4.1128e-07     1000
    131072           6706.64 | 1.9543625e-05 ± 4.3096e-06     1000
    262144           8246.43 | 3.1788781e-05 ± 6.9598e-07     1000
    524288           9338.92 | 5.6140098e-05 ± 9.2865e-07     1000
   1048576          10018.10 | 1.0466814e-04 ± 1.6110e-06     1000
   2097152          10270.21 | 2.0419767e-04 ± 3.3996e-06       10
   4194304          13653.60 | 3.0719410e-04 ± 9.2981e-07       10
   8388608          13850.80 | 6.0564067e-04 ± 1.0134e-06       10
  16777216          13917.96 | 1.2054368e-03 ± 5.2714e-06       10
  33554432          13962.81 | 2.4031281e-03 ± 9.6805e-06       10
  67108864          13909.91 | 4.8245350e-03 ± 2.0479e-05       10
 134217728          13850.37 | 9.6905504e-03 ± 4.3636e-05       10
 268435456          13717.30 | 1.9569112e-02 ± 7.8370e-05       10
 536870912          13565.19 | 3.9577098e-02 ± 2.0055e-04       10
1073741824          13504.81 | 7.9508093e-02 ± 6.5539e-04       10
