# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152          11369.74 | 1.8445029e-04 ± 1.7002e-06       10
   4194304          11163.47 | 3.7571701e-04 ± 5.9525e-05       10
   8388608          11903.53 | 7.0471570e-04 ± 1.7935e-06       10
  16777216          11940.78 | 1.4050347e-03 ± 6.4787e-06       10
  33554432          11912.99 | 2.8166262e-03 ± 2.2603e-05       10
  67108864          11816.62 | 5.6791932e-03 ± 3.4804e-05       10
 134217728          11630.15 | 1.1540500e-02 ± 1.3136e-04       10
 268435456          11186.71 | 2.3995926e-02 ± 1.9379e-04       10
 536870912          10819.20 | 4.9622055e-02 ± 1.1330e-03       10
1073741824          10721.20 | 1.0015129e-01 ± 2.9336e-03       10
