# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           6901.04 | 3.0388942e-04 ± 9.7998e-05       10
   4194304           3499.73 | 1.1984662e-03 ± 2.3558e-05       10
   8388608           4157.51 | 2.0176984e-03 ± 3.1772e-05       10
  16777216           2949.87 | 5.6874434e-03 ± 5.9643e-05       10
  33554432           2994.16 | 1.1206638e-02 ± 9.1629e-05       10
  67108864           3035.03 | 2.2111449e-02 ± 6.5980e-05       10
 134217728           3052.34 | 4.3972143e-02 ± 1.9999e-04       10
 268435456           4035.04 | 6.6526075e-02 ± 3.6909e-03       10
 536870912           3058.68 | 1.7552344e-01 ± 3.5030e-04       10
1073741824           3065.05 | 3.5031777e-01 ± 2.1475e-04       10
