# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           1650.60 | 1.2705395e-03 ± 3.4580e-05       10
   4194304           1628.30 | 2.5758762e-03 ± 3.4515e-05       10
   8388608           1255.69 | 6.6804991e-03 ± 8.9674e-05       10
  16777216           1362.86 | 1.2310309e-02 ± 1.8060e-04       10
  33554432           1669.41 | 2.0099590e-02 ± 7.9396e-05       10
  67108864           1666.28 | 4.0274556e-02 ± 8.5329e-04       10
 134217728           1694.68 | 7.9199253e-02 ± 9.3999e-05       10
 268435456           1722.56 | 1.5583555e-01 ± 2.8377e-04       10
 536870912           1723.63 | 3.1147767e-01 ± 3.1628e-04       10
1073741824           1729.55 | 6.2082009e-01 ± 2.7135e-04       10
