# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           6697.97 | 3.1310268e-04 ± 9.7709e-05       10
   4194304           4488.95 | 9.3436097e-04 ± 1.0160e-04       10
   8388608           2929.12 | 2.8638707e-03 ± 9.4609e-06       10
  16777216           2939.12 | 5.7082484e-03 ± 8.2374e-05       10
  33554432           3019.38 | 1.1113007e-02 ± 5.1498e-05       10
  67108864           3052.24 | 2.1986739e-02 ± 5.6945e-05       10
 134217728           3077.59 | 4.3611250e-02 ± 1.6452e-04       10
 268435456           3087.56 | 8.6940854e-02 ± 1.5983e-04       10
 536870912           3088.80 | 1.7381194e-01 ± 3.5807e-04       10
1073741824           3096.03 | 3.4681232e-01 ± 3.1027e-04       10
