# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    131072           1699.04 | 7.7144793e-05 ± 3.1966e-06     1000
    262144           2673.72 | 9.8044689e-05 ± 3.5489e-06     1000
    524288           3774.77 | 1.3889288e-04 ± 4.5903e-06     1000
   1048576           4788.40 | 2.1898263e-04 ± 1.3204e-05     1000
   2097152           5495.41 | 3.8161878e-04 ± 2.3349e-05      100
   4194304           3014.94 | 1.3911742e-03 ± 1.9625e-05      100
   8388608           2480.96 | 3.3811972e-03 ± 6.1600e-05      100
  16777216           2509.10 | 6.6865420e-03 ± 4.9293e-05      100
  33554432           2539.74 | 1.3211763e-02 ± 5.2418e-04      100
  67108864           3217.20 | 2.0859392e-02 ± 1.5944e-03      100
 134217728           4436.08 | 3.0255923e-02 ± 4.0753e-03      100
 268435456           4660.53 | 5.7597620e-02 ± 1.9709e-03      100
 536870912           4626.76 | 1.1603616e-01 ± 3.3926e-03      100
1073741824           4591.99 | 2.3382954e-01 ± 5.9877e-03      100
