# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    131072           1930.56 | 6.7893386e-05 ± 2.7960e-06     1000
    262144           2705.28 | 9.6900701e-05 ± 2.8007e-06     1000
    524288           3421.26 | 1.5324426e-04 ± 3.0994e-06     1000
   1048576           3975.50 | 2.6375980e-04 ± 1.3400e-05     1000
   2097152           4314.09 | 4.8611650e-04 ± 3.6225e-05      100
   4194304           1252.48 | 3.3487895e-03 ± 5.8584e-05      100
   8388608           1570.46 | 5.3415065e-03 ± 7.6653e-05      100
  16777216           2821.20 | 5.9468452e-03 ± 2.8848e-04      100
  33554432           1456.84 | 2.3032396e-02 ± 3.9767e-04      100
  67108864           1268.82 | 5.2890793e-02 ± 7.4590e-04      100
 134217728           1324.55 | 1.0133057e-01 ± 8.8714e-04      100
 268435456           1569.36 | 1.7104804e-01 ± 1.7865e-03      100
 536870912           1493.56 | 3.5945763e-01 ± 3.4452e-03      100
1073741824           1490.43 | 7.2042522e-01 ± 1.5181e-02      100
