# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    131072           1915.16 | 6.8439039e-05 ± 3.4035e-06     1000
    262144           2673.81 | 9.8041406e-05 ± 3.4890e-06     1000
    524288           3375.66 | 1.5531400e-04 ± 4.2242e-06     1000
   1048576           3914.31 | 2.6788292e-04 ± 1.2218e-05     1000
   2097152           4278.26 | 4.9018851e-04 ± 5.4337e-06       10
   4194304           1938.26 | 2.1639556e-03 ± 5.4998e-05       10
   8388608           1654.58 | 5.0699411e-03 ± 1.1600e-04       10
  16777216           1635.86 | 1.0255895e-02 ± 1.6092e-04       10
  33554432           3291.04 | 1.0195680e-02 ± 9.2923e-03       10
  67108864           4673.82 | 1.4358457e-02 ± 1.0347e-04       10
 134217728           4074.51 | 3.2940855e-02 ± 9.6511e-03       10
 268435456           4572.07 | 5.8712082e-02 ± 2.7644e-04       10
 536870912           2918.01 | 1.8398509e-01 ± 1.6760e-01       10
1073741824            772.91 | 1.3892229e+00 ± 3.4858e+00       10
