--------------------------------------------------------------------------
WARNING: A deprecated command line option was used.

  Deprecated option:   N
  Corrected option:    --map-by ppr:1:node

We have updated this for you and will proceed. However, this will be treated
as an error in a future release. Please update your command line.
--------------------------------------------------------------------------

# size latency
16 1.5299703
32 1.6841948
64 1.8385152
128 1.9427178
256 2.35782
512 2.5374205
1024 2.759494
2048 3.5552254
4096 4.4502015
8192 5.5321765
16384 8.043884
32768 13.112453
65536 20.246014
131072 33.443504
262144 61.04588
524288 113.51202
1048576 222.28477
