--------------------------------------------------------------------------
WARNING: A deprecated command line option was used.

  Deprecated option:   N
  Corrected option:    --map-by ppr:1:node

We have updated this for you and will proceed. However, this will be treated
as an error in a future release. Please update your command line.
--------------------------------------------------------------------------

# size latency
16 1.3593554
32 1.509705
64 1.660353
128 1.7123964
256 2.1452005
512 2.2836146
1024 2.4449856
2048 3.0956066
4096 3.8739967
8192 4.3503675
16384 5.9709144
32768 8.405565
65536 11.5423
131072 17.41327
262144 25.268642
524288 44.833588
1048576 83.58237
