--------------------------------------------------------------------------
WARNING: A deprecated command line option was used.

  Deprecated option:   N
  Corrected option:    --map-by ppr:1:node

We have updated this for you and will proceed. However, this will be treated
as an error in a future release. Please update your command line.
--------------------------------------------------------------------------

# size latency
16 2.37225
32 2.507308
64 2.6618853
128 2.774153
256 2.8368802
512 3.0352209
1024 3.2811759
2048 3.901836
4096 4.8999815
8192 6.1886177
16384 9.207788
32768 16.958546
65536 25.680702
131072 42.927628
262144 77.55944
524288 150.3719
1048576 285.05154
