--------------------------------------------------------------------------
WARNING: A deprecated command line option was used.

  Deprecated option:   N
  Corrected option:    --map-by ppr:1:node

We have updated this for you and will proceed. However, this will be treated
as an error in a future release. Please update your command line.
--------------------------------------------------------------------------

# size latency
16 1.5292329
32 1.6870341
64 1.8384591
128 1.9430934
256 2.359328
512 2.5391936
1024 2.7606745
2048 3.5482492
4096 4.4540443
8192 5.5219283
16384 8.035375
32768 13.098591
65536 19.792366
131072 32.69602
262144 60.92999
524288 113.99889
1048576 223.7673
