# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    262144           2889.24 | 9.0731268e-05 ± 3.4258e-06     1000
    524288           4228.29 | 1.2399516e-04 ± 4.0781e-06     1000
   1048576           5474.35 | 1.9154335e-04 ± 1.7882e-05     1000
   2097152           6422.14 | 3.2655017e-04 ± 9.2950e-06       10
   4194304           2900.60 | 1.4460127e-03 ± 2.7779e-05       10
   8388608           2701.09 | 3.1056399e-03 ± 2.1873e-05       10
  16777216           2707.88 | 6.1957078e-03 ± 8.5545e-05       10
  33554432           2772.80 | 1.2101286e-02 ± 4.1045e-05       10
  67108864           2790.05 | 2.4052943e-02 ± 2.0011e-04       10
 134217728           2806.74 | 4.7819751e-02 ± 1.3191e-04       10
 268435456           2947.32 | 9.1077813e-02 ± 9.2230e-03       10
 536870912           5510.57 | 9.7425660e-02 ± 3.4715e-03       10
1073741824           5422.68 | 1.9800944e-01 ± 6.9400e-03       10
