# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    262144           2919.13 | 8.9802133e-05 ± 2.3491e-06     1000
    524288           3708.89 | 1.4135964e-04 ± 1.3785e-05     1000
   1048576           1064.57 | 9.8497203e-04 ± 2.1851e-05     1000
   2097152           2043.23 | 1.0263904e-03 ± 1.5584e-05       10
   4194304           1550.67 | 2.7048410e-03 ± 6.1179e-05       10
   8388608           1340.49 | 6.2578880e-03 ± 1.5140e-04       10
  16777216           1703.49 | 9.8487572e-03 ± 4.3221e-04       10
  33554432           1476.28 | 2.2729109e-02 ± 2.5530e-04       10
  67108864           1390.42 | 4.8265300e-02 ± 8.4299e-05       10
 134217728           1403.48 | 9.5632176e-02 ± 8.4718e-04       10
 268435456           1423.41 | 1.8858557e-01 ± 4.7425e-03       10
 536870912           1466.27 | 3.6614632e-01 ± 3.8139e-03       10
1073741824           1554.76 | 6.9061565e-01 ± 8.7703e-03       10
