# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    262144           8421.10 | 3.1129416e-05 ± 4.6335e-06     1000
    524288           9966.33 | 5.2605922e-05 ± 3.4591e-07     1000
   1048576          10916.36 | 9.6055425e-05 ± 3.7555e-07     1000
   2097152          11445.86 | 1.8322356e-04 ± 8.2158e-07       10
   4194304          11749.45 | 3.5697890e-04 ± 6.4991e-07       10
   8388608          11904.05 | 7.0468492e-04 ± 1.6429e-06       10
  16777216          11948.72 | 1.4041020e-03 ± 3.7779e-06       10
  33554432          11922.25 | 2.8144371e-03 ± 1.4185e-05       10
  67108864          11835.96 | 5.6699117e-03 ± 4.1426e-05       10
 134217728          11652.58 | 1.1518287e-02 ± 1.1480e-04       10
 268435456          11515.87 | 2.3310052e-02 ± 1.6156e-04       10
 536870912          10832.64 | 4.9560505e-02 ± 1.3146e-03       10
1073741824          10654.27 | 1.0078038e-01 ± 3.3599e-03       10
