# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
     65536           1134.66 | 5.7758168e-05 ± 5.7353e-06     1000
    131072           1746.39 | 7.5053095e-05 ± 2.8736e-06     1000
    262144           2381.23 | 1.1008776e-04 ± 3.3800e-06     1000
    524288           2926.47 | 1.7915395e-04 ± 1.2760e-05     1000
   1048576           1303.24 | 8.0459398e-04 ± 1.6991e-05     1000
   2097152           1952.64 | 1.0740084e-03 ± 4.1648e-05       10
   4194304           1456.06 | 2.8805827e-03 ± 1.5096e-05       10
   8388608           2199.32 | 3.8141858e-03 ± 1.8131e-03       10
  16777216           2193.75 | 7.6477323e-03 ± 3.9013e-04       10
  33554432           1187.16 | 2.8264464e-02 ± 1.9072e-04       10
  67108864           1428.23 | 4.6987537e-02 ± 1.3923e-03       10
 134217728           1381.41 | 9.7159882e-02 ± 3.4823e-03       10
 268435456           1353.96 | 1.9825886e-01 ± 5.4515e-03       10
 536870912           1379.36 | 3.8921688e-01 ± 1.1353e-02       10
1073741824           1342.30 | 7.9992885e-01 ± 5.9963e-03       10
