# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
     65536           1007.61 | 6.5041354e-05 ± 5.8684e-06     1000
    131072           1487.94 | 8.8089501e-05 ± 2.6518e-06     1000
    262144           1959.79 | 1.3376097e-04 ± 4.1004e-06     1000
    524288           2344.67 | 2.2360885e-04 ± 4.5805e-06     1000
   1048576           2608.88 | 4.0192607e-04 ± 1.5332e-05     1000
   2097152           2083.43 | 1.0065858e-03 ± 5.0897e-04       10
   4194304           1078.72 | 3.8882282e-03 ± 8.3317e-05       10
   8388608           2733.43 | 3.0688926e-03 ± 5.0942e-04       10
  16777216           2790.48 | 6.0123011e-03 ± 4.5602e-04       10
  33554432           1943.55 | 1.7264536e-02 ± 1.3064e-02       10
  67108864           2821.48 | 2.3784988e-02 ± 1.6765e-03       10
 134217728           1548.35 | 8.6684625e-02 ± 9.1746e-02       10
 268435456           1865.58 | 1.4388866e-01 ± 5.6191e-02       10
 536870912           1421.11 | 3.7778296e-01 ± 4.2736e-01       10
1073741824           1056.66 | 1.0161613e+00 ± 1.7267e+00       10
