# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
     65536            927.87 | 7.0630699e-05 ± 3.2072e-06     1000
    131072           1524.69 | 8.5966049e-05 ± 3.6175e-06     1000
    262144           2271.45 | 1.1540826e-04 ± 4.3125e-06     1000
    524288           3068.36 | 1.7086906e-04 ± 6.0571e-06     1000
   1048576           3728.29 | 2.8124875e-04 ± 8.6293e-06     1000
   2097152           4089.85 | 5.1277042e-04 ± 5.0921e-05       10
   4194304           2365.03 | 1.7734651e-03 ± 2.1684e-05       10
   8388608           2204.63 | 3.8049922e-03 ± 2.2829e-05       10
  16777216           2181.25 | 7.6915578e-03 ± 1.2833e-04       10
  33554432           2212.03 | 1.5169064e-02 ± 7.4881e-05       10
  67108864           3540.78 | 1.8953156e-02 ± 1.6783e-03       10
 134217728           3640.35 | 3.6869436e-02 ± 5.4577e-04       10
 268435456           3428.86 | 7.8286979e-02 ± 5.9856e-03       10
 536870912           3279.46 | 1.6370699e-01 ± 7.5894e-03       10
1073741824           3431.33 | 3.1292324e-01 ± 1.0992e-02       10
