# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
     65536           4440.76 | 1.4757837e-05 ± 4.9525e-07     1000
    131072           6498.44 | 2.0169769e-05 ± 3.0695e-06     1000
    262144           8481.89 | 3.0906327e-05 ± 3.7645e-07     1000
    524288           9964.30 | 5.2616625e-05 ± 3.5450e-07     1000
   1048576          10911.42 | 9.6098956e-05 ± 3.4515e-07     1000
   2097152          11460.02 | 1.8299727e-04 ± 5.7233e-07       10
   4194304          11753.11 | 3.5686744e-04 ± 3.6567e-07       10
   8388608          11906.72 | 7.0452737e-04 ± 5.6034e-07       10
  16777216          11941.97 | 1.4048947e-03 ± 3.9460e-06       10
  33554432          11909.71 | 2.8174003e-03 ± 1.9219e-05       10
  67108864          11822.44 | 5.6763990e-03 ± 3.9332e-05       10
 134217728          11613.32 | 1.1557223e-02 ± 1.2157e-04       10
 268435456          11187.70 | 2.3993800e-02 ± 2.5989e-04       10
 536870912          10788.82 | 4.9761776e-02 ± 1.2959e-03       10
1073741824          10652.16 | 1.0080034e-01 ± 3.3707e-03       10
