# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           1583.79 | 1.3241371e-03 ± 2.7951e-05       10
   4194304           1597.15 | 2.6261154e-03 ± 4.2548e-05       10
   8388608           1267.59 | 6.6177835e-03 ± 8.2147e-05       10
  16777216           1355.58 | 1.2376429e-02 ± 1.7733e-04       10
  33554432           1681.01 | 1.9960836e-02 ± 1.4118e-04       10
  67108864           1677.85 | 3.9996902e-02 ± 4.7281e-04       10
 134217728           1700.17 | 7.8943553e-02 ± 2.3028e-04       10
 268435456           1729.72 | 1.5519050e-01 ± 3.9641e-04       10
 536870912           1734.24 | 3.0957089e-01 ± 4.5258e-04       10
1073741824           1734.41 | 6.1908054e-01 ± 3.8494e-03       10
