# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           6885.51 | 3.0457480e-04 ± 9.9631e-05       10
   4194304           3380.56 | 1.2407117e-03 ± 2.3779e-05       10
   8388608           4129.81 | 2.0312338e-03 ± 3.7639e-05       10
  16777216           2964.91 | 5.6586013e-03 ± 6.5590e-05       10
  33554432           3017.16 | 1.1121183e-02 ± 8.4700e-05       10
  67108864           3038.17 | 2.2088547e-02 ± 1.1285e-04       10
 134217728           3060.35 | 4.3857056e-02 ± 2.1664e-04       10
 268435456           4058.82 | 6.6136368e-02 ± 3.4830e-03       10
 536870912           3076.23 | 1.7452233e-01 ± 5.4323e-04       10
1073741824           3085.48 | 3.4799881e-01 ± 8.1276e-04       10
