# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           9419.27 | 2.2264479e-04 ± 1.7604e-05       10
   4194304           9680.81 | 4.3325981e-04 ± 5.1410e-05       10
   8388608           6599.37 | 1.2711229e-03 ± 2.7003e-05       10
  16777216           6492.54 | 2.5840741e-03 ± 1.1855e-05       10
  33554432           6635.44 | 5.0568503e-03 ± 1.3195e-05       10
  67108864           6719.19 | 9.9876486e-03 ± 1.6229e-05       10
 134217728           6760.64 | 1.9852822e-02 ± 7.8323e-05       10
 268435456           6774.97 | 3.9621671e-02 ± 3.2008e-04       10
 536870912           6799.16 | 7.8961393e-02 ± 7.7587e-05       10
1073741824           6804.78 | 1.5779222e-01 ± 1.7190e-04       10
