# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.03 | 3.5981015e-05 ± 2.1355e-06    10000
         2              0.06 | 3.6081075e-05 ± 4.8441e-06    10000
         4              0.11 | 3.5743605e-05 ± 2.4635e-06    10000
         8              0.22 | 3.5958080e-05 ± 2.4457e-06    10000
        16              0.45 | 3.5844587e-05 ± 2.4542e-06    10000
        32              0.89 | 3.5852611e-05 ± 2.0676e-06    10000
        64              1.77 | 3.6085232e-05 ± 2.4736e-06    10000
       128              3.54 | 3.6141219e-05 ± 2.0755e-06    10000
       256              7.12 | 3.5931654e-05 ± 2.0277e-06    10000
       512             13.91 | 3.6805685e-05 ± 2.6096e-06    10000
      1024             27.94 | 3.6656406e-05 ± 1.9926e-06    10000
      2048             54.90 | 3.7302223e-05 ± 2.8015e-06    10000
      4096            109.54 | 3.7392149e-05 ± 2.9718e-06    10000
      8192            216.26 | 3.7879528e-05 ± 2.1400e-06    10000
     16384            418.74 | 3.9126872e-05 ± 2.0873e-06    10000
     32768            790.18 | 4.1469253e-05 ± 2.4537e-06     1000
     65536           1469.31 | 4.4603286e-05 ± 2.5078e-06     1000
    131072           2586.82 | 5.0669107e-05 ± 2.3664e-06     1000
    262144           4149.06 | 6.3181524e-05 ± 2.3020e-06     1000
    524288           6000.68 | 8.7371504e-05 ± 5.1138e-06     1000
   1048576           7761.54 | 1.3509897e-04 ± 5.1931e-06     1000
   2097152           7817.58 | 2.6826093e-04 ± 1.5053e-04       10
   4194304          10491.20 | 3.9979245e-04 ± 1.5749e-04       10
   8388608          11489.16 | 7.3013240e-04 ± 2.5100e-04       10
  16777216          11880.92 | 1.4121147e-03 ± 5.0234e-04       10
  33554432           5097.08 | 6.5830723e-03 ± 7.1626e-05       10
  67108864           5241.88 | 1.2802440e-02 ± 1.6128e-04       10
 134217728           5386.04 | 2.4919570e-02 ± 1.3383e-04       10
 268435456           5394.48 | 4.9761115e-02 ± 3.2407e-04       10
 536870912           4778.18 | 1.1235898e-01 ± 7.3563e-04       10
1073741824           4917.24 | 2.1836286e-01 ± 4.9669e-03       10
