# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.02 | 4.3172706e-05 ± 5.7820e-06    10000
         2              0.05 | 4.3072904e-05 ± 2.6388e-06    10000
         4              0.09 | 4.3192620e-05 ± 2.5982e-06    10000
         8              0.19 | 4.3231567e-05 ± 3.5391e-06    10000
        16              0.37 | 4.3124188e-05 ± 2.6019e-06    10000
        32              0.74 | 4.3082989e-05 ± 3.2926e-06    10000
        64              1.48 | 4.3256555e-05 ± 2.6573e-06    10000
       128              2.97 | 4.3163037e-05 ± 3.5498e-06    10000
       256              5.92 | 4.3216786e-05 ± 2.7841e-06    10000
       512             11.75 | 4.3585918e-05 ± 2.6099e-06    10000
      1024             23.44 | 4.3694368e-05 ± 3.8443e-06    10000
      2048             46.70 | 4.3852495e-05 ± 2.6035e-06    10000
      4096             91.88 | 4.4580491e-05 ± 3.2518e-06    10000
      8192            179.10 | 4.5740318e-05 ± 3.3278e-06    10000
     16384            352.50 | 4.6479930e-05 ± 3.8078e-06    10000
     32768            673.80 | 4.8631517e-05 ± 4.3290e-06     1000
     65536           1268.10 | 5.1680299e-05 ± 4.7571e-06     1000
    131072           2259.04 | 5.8021086e-05 ± 3.0967e-06     1000
    262144           3706.33 | 7.0728744e-05 ± 3.1938e-06     1000
    524288           5425.02 | 9.6642539e-05 ± 6.5571e-06     1000
   1048576           7110.47 | 1.4746928e-04 ± 4.1714e-06     1000
   2097152           7299.63 | 2.8729560e-04 ± 9.7105e-05       10
   4194304           8196.98 | 5.1168909e-04 ± 5.7812e-05       10
   8388608           5766.35 | 1.4547513e-03 ± 5.7881e-05       10
  16777216           5927.06 | 2.8306151e-03 ± 1.1119e-04       10
  33554432           4973.98 | 6.7459900e-03 ± 2.6106e-05       10
  67108864           5237.48 | 1.2813189e-02 ± 4.4655e-05       10
 134217728           5311.06 | 2.5271351e-02 ± 3.4376e-05       10
 268435456           5397.03 | 4.9737641e-02 ± 1.1495e-04       10
 536870912           5437.35 | 9.8737584e-02 ± 7.7317e-05       10
1073741824           5449.47 | 1.9703584e-01 ± 1.3649e-04       10
