# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.04 | 2.6275583e-05 ± 1.4725e-06    10000
         2              0.08 | 2.6232055e-05 ± 7.8561e-06    10000
         4              0.15 | 2.6060981e-05 ± 1.4115e-06    10000
         8              0.31 | 2.6042403e-05 ± 1.8171e-06    10000
        16              0.61 | 2.6142007e-05 ± 1.7954e-06    10000
        32              1.22 | 2.6181954e-05 ± 1.8010e-06    10000
        64              2.46 | 2.5977653e-05 ± 1.3736e-06    10000
       128              4.82 | 2.6568463e-05 ± 1.3663e-06    10000
       256              9.55 | 2.6795909e-05 ± 1.8690e-06    10000
       512             18.98 | 2.6971754e-05 ± 1.7789e-06    10000
      1024             37.51 | 2.7302931e-05 ± 1.4192e-06    10000
      2048             70.23 | 2.9160183e-05 ± 2.7524e-06    10000
      4096            135.90 | 3.0138836e-05 ± 3.1765e-06    10000
      8192            259.33 | 3.1589274e-05 ± 2.1255e-06    10000
     16384            494.48 | 3.3133678e-05 ± 2.6889e-06    10000
     32768            915.98 | 3.5773689e-05 ± 1.5651e-06     1000
     65536           1597.38 | 4.1027191e-05 ± 1.8349e-06     1000
    131072           2574.31 | 5.0915411e-05 ± 2.0794e-06     1000
    262144           3671.02 | 7.1409102e-05 ± 2.3785e-06     1000
    524288           4783.93 | 1.0959364e-04 ± 2.8199e-06     1000
   1048576           1326.42 | 7.9053043e-04 ± 1.4946e-05     1000
   2097152           1355.72 | 1.5468965e-03 ± 1.3974e-05       10
   4194304           1960.38 | 2.1395370e-03 ± 3.0792e-05       10
   8388608           1865.26 | 4.4972841e-03 ± 1.5097e-05       10
  16777216           1758.93 | 9.5383291e-03 ± 7.6485e-05       10
  33554432           1817.24 | 1.8464500e-02 ± 9.9931e-05       10
  67108864           1894.47 | 3.5423483e-02 ± 8.7353e-05       10
 134217728           1936.41 | 6.9312703e-02 ± 1.2073e-04       10
 268435456           1954.69 | 1.3732900e-01 ± 1.6673e-04       10
 536870912           1914.62 | 2.8040558e-01 ± 7.0272e-04       10
1073741824           1935.81 | 5.5467271e-01 ± 7.1814e-03       10
