# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           1584.74 | 1.3233453e-03 ± 2.6902e-05       10
   4194304           1619.19 | 2.5903639e-03 ± 3.4144e-05       10
   8388608           1254.85 | 6.6849453e-03 ± 1.0496e-04       10
  16777216           1366.78 | 1.2274982e-02 ± 2.0742e-04       10
  33554432           1675.24 | 2.0029568e-02 ± 1.3011e-04       10
  67108864           1676.68 | 4.0024770e-02 ± 6.6908e-04       10
 134217728           1702.40 | 7.8840111e-02 ± 1.2883e-04       10
 268435456           1732.07 | 1.5497926e-01 ± 3.8346e-04       10
 536870912           1733.62 | 3.0968272e-01 ± 7.9999e-04       10
1073741824           1734.94 | 6.1889426e-01 ± 2.5173e-03       10
