# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           6649.36 | 3.1539176e-04 ± 1.0511e-04       10
   4194304           4354.77 | 9.6315161e-04 ± 7.5938e-05       10
   8388608           2929.59 | 2.8634019e-03 ± 1.1216e-05       10
  16777216           2927.14 | 5.7316118e-03 ± 7.5504e-05       10
  33554432           3012.83 | 1.1137190e-02 ± 7.9688e-05       10
  67108864           3067.50 | 2.1877378e-02 ± 8.2191e-05       10
 134217728           3083.05 | 4.3534033e-02 ± 2.1079e-04       10
 268435456           3104.41 | 8.6469078e-02 ± 1.7235e-04       10
 536870912           3103.22 | 1.7300450e-01 ± 3.6993e-04       10
1073741824           3107.36 | 3.4554772e-01 ± 7.2861e-04       10
