# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   8388608           5568.03 | 1.5065672e-03 ± 1.5555e-04       10
  16777216           4312.71 | 3.8901824e-03 ± 1.4067e-05       10
  33554432           4448.09 | 7.5435517e-03 ± 1.2859e-05       10
  67108864           4525.33 | 1.4829622e-02 ± 5.9817e-05       10
 134217728           4568.23 | 2.9380693e-02 ± 2.9878e-05       10
 268435456           4587.71 | 5.8511888e-02 ± 6.7289e-05       10
 536870912           4596.91 | 1.1678962e-01 ± 1.5331e-04       10
1073741824           5459.60 | 1.9667045e-01 ± 2.6334e-04       10
