# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   8388608          11570.62 | 7.2499191e-04 ± 3.9973e-05       10
  16777216          11949.54 | 1.4040047e-03 ± 6.4493e-06       10
  33554432          11923.73 | 2.8140892e-03 ± 1.6106e-05       10
  67108864          11823.20 | 5.6760328e-03 ± 3.9560e-05       10
 134217728          11637.62 | 1.1533088e-02 ± 1.0090e-04       10
 268435456          11164.54 | 2.4043569e-02 ± 2.7558e-04       10
 536870912          10730.85 | 5.0030606e-02 ± 1.4591e-03       10
1073741824          10686.37 | 1.0047765e-01 ± 3.1832e-03       10
